TeamNameSpelling,TeamID
a&m-corpus chris,1394
abilene chr,1101
air force,1102
akron,1103
alabama,1104
alabama a&m,1105
alabama st,1106
alabama-birmingham,1412
albany,1107
alcorn,1108
alliant international,1109
american,1110
appalachian st,1111
arizona,1112
arizona st,1113
ark little rock,1114
ark pine bluff,1115
arkansas,1116
arkansas st,1117
armstrong,1118
army,1119
auburn,1120
augusta,1121
austin peay,1122
bakersfield,1167
ball st,1123
baylor,1124
belmont,1125
bethune-cookman,1126
binghamton,1127
birmingham so,1128
boise st,1129
boston,1131
boston college,1130
bowling green,1132
bradley,1133
brigham young,1140
brooklyn,1134
brown,1135
bryant,1136
bucknell,1137
buffalo,1138
butler,1139
c michigan,1141
cal poly,1142
cal riverside,1415
cal st. fullerton,1168
cal st. northridge,1169
california,1143
california-davis,1413
california-irvine,1414
california-santa barbara,1364
campbell,1144
canisius,1145
cent arkansas,1146
centenary,1147
central conn,1148
central florida,1416
charleston,1158
charleston so,1149
charlotte,1150
chattanooga,1151
chicago st,1152
cincinnati,1153
citadel,1154
clemson,1155
cleveland st,1156
coastal car,1157
colgate,1159
colorado,1160
colorado st,1161
columbia,1162
connecticut,1163
coppin st,1164
cornell,1165
creighton,1166
cs sacramento,1170
dartmouth,1171
davidson,1172
dayton,1173
delaware,1174
delaware st,1175
denver,1176
depaul,1177
detroit,1178
drake,1179
drexel,1180
duke,1181
duquesne,1182
e illinois,1183
e kentucky,1184
e michigan,1185
e washington,1186
east carolina,1187
east tenn. st.,1190
edwardsville,1188
elon,1189
estern carolina,1441
evansville,1191
f dickinson,1192
fairfield,1193
fgcu,1195
fiu,1198
fl atlantic,1194
florida,1196
florida a&m,1197
florida st,1199
fordham,1200
fort wayne,1236
fresno st,1201
furman,1202
g washington,1203
ga southern,1204
gardner webb,1205
george mason,1206
georgetown,1207
georgia,1208
georgia st,1209
georgia tech,1210
gonzaga,1211
grambling,1212
grand canyon,1213
green bay,1453
hampton,1214
hardin-simmons,1215
hartford,1216
harvard,1217
hawaii,1218
high point,1219
hofstra,1220
holy cross,1221
houston,1222
houston bap,1223
howard,1224
idaho,1225
idaho st,1226
il chicago,1227
illinois,1228
illinois st,1229
incarnate word,1230
indiana,1231
indiana - purdue,1237
indiana st,1232
iona,1233
iowa,1234
iowa st,1235
jackson st,1238
jacksonville,1239
jacksonville st,1240
james madison,1241
kansas,1242
kansas st,1243
kennesaw,1244
kent,1245
kentucky,1246
la salle,1247
la.-lafayette,1418
la.-monroe,1419
lafayette,1248
lamar,1249
lehigh,1250
liberty,1251
lipscomb,1252
liu brooklyn,1254
long beach st,1253
longwood,1255
louisiana state,1261
louisiana tech,1256
louisville,1257
loy marymount,1258
loyola (il),1260
loyola (md),1259
ma lowell,1262
maine,1263
manhattan,1264
marist,1265
marquette,1266
marshall,1267
maryland,1268
maryland - e. shore,1271
maryland-baltimore county,1420
massachusetts,1269
mcneese,1270
memphis,1272
mercer,1273
miami - florida,1274
miami (oh),1275
michigan,1276
michigan st,1277
middle tenn st,1292
milwaukee,1454
minnesota,1278
miss valley st.,1290
mississippi,1279
mississippi st,1280
missouri,1281
missouri kc,1282
missouri st,1283
monmouth,1284
montana,1285
montana st,1286
morehead st,1287
morgan st,1288
morris brown,1289
mount st. marys,1291
murray st,1293
n colorado,1294
n dakota st,1295
n illinois,1296
n kentucky,1297
n. carolina a&t,1299
n.c. asheville,1421
n.c. central,1300
n.c. state,1301
n.j.i.t.,1312
navy,1298
nc greensboro,1422
nc wilmington,1423
ne illinois,1302
ne omaha,1303
nebraska,1304
nevada,1305
nevada-las vegas,1424
new hampshire,1306
new mexico,1307
new mexico st,1308
new orleans,1309
niagara,1310
nicholls,1311
norfolk st,1313
north carolina,1314
north dakota,1315
north florida,1316
north texas,1317
northeastern,1318
northern ariz.,1319
northern iowa,1320
northwestern,1321
northwestern la,1322
notre dame,1323
oakland,1324
ohio,1325
ohio st,1326
okla city,1327
oklahoma,1328
oklahoma st,1329
old dominion,1330
oral roberts,1331
oregon,1332
oregon st,1333
pacific,1334
penn,1335
penn st,1336
pepperdine,1337
pitt,1338
portland,1339
portland st,1340
prairie view,1341
presbyterian,1342
princeton,1343
providence,1344
purdue,1345
quinnipiac,1346
radford,1347
rhode island,1348
rice,1349
richmond,1350
rider,1351
robert morris,1352
rutgers,1353
s carolina st,1354
s dakota st,1355
s illinois,1356
sacred heart,1357
saint francis (pa),1384
saint joseph`s,1386
saint louis,1387
saint mary's,1388
saint peter`s,1389
sam houston st,1358
samford,1359
san diego,1360
san diego st,1361
san francisco,1362
san jose st,1363
santa clara,1365
savannah st,1366
sc upstate,1367
se louisiana,1368
se missouri st,1369
seattle,1370
seton hall,1371
sf austin,1372
siena,1373
smu,1374
south ala.,1375
south carolina,1376
south dakota,1377
south fla.,1378
southern,1380
southern california,1425
southern miss,1379
southern utah,1381
st bonaventure,1382
st francis (ny),1383
st john's,1385
stanford,1390
stetson,1391
stony brook,1392
syracuse,1393
tcu,1395
temple,1396
tennessee,1397
tennessee st,1398
tennessee tech,1399
tennessee-martin,1404
tex.-pan american,1410
texas,1400
texas a&m,1401
texas arlington,1426
texas san antonio,1427
texas southern,1411
texas st,1402
texas tech,1403
texas-el paso,1431
toledo,1405
towson,1406
troy,1407
tulane,1408
tulsa,1409
ucla,1417
utah,1428
utah st,1429
utah valley,1430
utica,1432
va commonwealth,1433
valparaiso,1434
vanderbilt,1435
vermont,1436
villanova,1437
virginia,1438
virginia military,1440
virginia tech,1439
w illinois,1442
w kentucky,1443
w michigan,1444
w salem st,1445
w texas a&m,1446
wagner,1447
wake forest,1448
washington,1449
washington st,1450
weber st,1451
west virginia,1452
wichita st,1455
william & mary,1456
winthrop,1457
wisconsin,1458
wofford,1459
wright st,1460
wyoming,1461
xavier,1462
yale,1463
youngstown st,1464
